title,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Herbie Fully Loaded,Start your engines...,2005-06-22,101.0,50000000,66002004,12.050755,5.1,542
Don't Say a Word,...I'll never tell.,2001-09-28,113.0,50000000,100020092,11.596207000000001,6.0,220
I Am Number Four,Three like him have already been killed…he is Number Four.,2011-02-18,109.0,50000000,144492830,43.450266,5.9,1567
Firewall,Nothing Is More Dangerous Than A Man With Everything To Lose.,2006-02-10,105.0,45000000,82800000,18.186026000000002,5.6,267
Absolute Power,Corrupts Absolutely.,1997-02-14,121.0,50000000,50068310,13.576765,6.4,223
G.I. Jane,Failure is not an option.,1997-08-22,125.0,50000000,48169156,19.434672,6.0,395
American Reunion,Save the best piece for last.,2012-04-04,113.0,50000000,234989584,39.920035,6.1,1611
The Negotiator,He frees hostages for a living. Now he's taking hostages to survive.,1998-07-29,140.0,50000000,44547681,28.725621000000004,6.8,582
Into the Storm,Prepare to go,2014-08-06,89.0,50000000,160602194,20.566554,5.8,817
Gremlins 2: The New Batch,Here they grow again.,1990-06-15,106.0,50000000,41482207,33.98637,6.2,652
Bridget Jones: The Edge of Reason,Same Bridget. Brand new diary.,2004-11-10,108.0,50000000,40203020,28.803802,6.1,750
Out of Time,The Clock Is Ticking...,2003-10-03,105.0,50000000,55495563,14.993459,6.1,298
The Beach,Somewhere on this planet it must exist.,2000-02-11,119.0,40000000,144056873,41.362082,6.3,1233
Hereafter,Touched by death. Changed by life.,2010-10-15,129.0,50000000,105197635,13.365715,5.8,510
Murder by Numbers,The only flaw in their plan was her.,2002-04-19,120.0,50000000,56714147,16.167092999999998,6.0,268
Hannibal Rising,It started with revenge.,2007-02-06,121.0,50000000,82169884,6.5670649999999995,6.0,654
The Story of Us,,1999-10-13,95.0,50000000,58900031,6.22577,5.9,75
Basic,Deception is their most deadly weapon.,2003-04-18,98.0,50000000,42792561,19.226763000000002,6.2,286
Blood Work,He's a heartbeat away from catching the killer,2002-08-04,110.0,50000000,26199517,10.089065,6.1,206
Escape from L.A.,Snake Is Back.,1996-08-09,97.0,50000000,42277365,21.637234,5.6,373
The Life Aquatic with Steve Zissou,"The deeper you go, the weirder life gets.",2004-12-10,119.0,50000000,34808403,25.237969,7.1,775
Free State of Jones,Based on the incredible true story.,2016-06-24,139.0,50000000,25035950,21.589392999999998,6.6,428
Man of the House,Protecting witnesses is a challenge. Living with them is impossible.,2005-02-25,100.0,40000000,0,6.004422,5.4,120
Eastern Promises,Every sin leaves a mark.,2007-09-14,100.0,51500000,55112356,35.481169,7.2,848
The Messenger: The Story of Joan of Arc,,1999-10-18,148.0,60000000,66976317,21.084542000000003,6.2,367
Your Highness,Get your quest on.,2011-04-08,102.0,49900000,26121638,21.408222,5.2,501
Jade,Some fantasies go too far.,1995-10-13,95.0,50000000,9851610,8.189406,5.2,44
Gamer,"In the near future, you don't live to play... you'll play to live.",2009-09-03,95.0,50000000,40828540,27.631262,5.6,760
Beautiful Creatures,Dark secrets will come to light.,2013-02-13,124.0,60000000,60052138,40.721373,5.6,984
Zoolander 2,Long time no Z,2016-02-06,100.0,50000000,55969000,37.253774,4.7,797
The Big Bounce,It's all in who you trust,2004-01-30,88.0,50000000,6808550,6.397387999999999,5.0,76
What Planet Are You From?,"To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem.",2000-03-03,105.0,60000000,0,2.275331,5.4,37
Drive Angry,One hell of a ride.,2011-02-24,105.0,50000000,28931401,30.387148,5.3,600
Street Fighter: The Legend of Chun-Li,Some fight for power. Some fight for us.,2009-02-27,97.0,50000000,12764201,8.139676,3.9,112
The One,Stealing the power of the universes one by one.,2001-11-02,87.0,49000000,72700000,21.746245000000002,5.7,437
Indiana Jones and the Last Crusade,"The man with the hat is back. And this time, he's bringing his Dad.",1989-05-24,127.0,48000000,474171806,80.972475,7.6,3152
Chappie,I am consciousness. I am alive. I am Chappie.,2015-03-04,120.0,49000000,104399548,116.700319,6.6,3062
The Bone Collector,Serial killer vs. forensic genius,1999-11-04,118.0,73000000,151493655,33.884459,6.5,826
Panic Room,,2002-03-29,111.0,48000000,196397415,53.043124,6.5,1267
Child 44,How do you find a killer who doesn’t exist?,2015-03-15,137.0,50000000,3324330,40.371097999999996,6.1,547
Rat Race,563 miles. 9 people. $2 million. 1001 problems!,2001-07-30,112.0,48000000,85498534,18.60049,6.0,518
K-PAX,Change the way you look at the world.,2001-10-22,120.0,48000000,50315140,30.920075,7.1,695
Kate & Leopold,If they lived in the same century they'd be perfect for each other.,2001-12-25,118.0,0,0,11.940711,6.0,418
Bedazzled,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,2000-10-19,93.0,48000000,90383208,19.348007,5.6,512
The Cotton Club,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,1984-12-14,127.0,58000000,25928721,8.59075,6.6,68
3:10 to Yuma,Time waits for one man.,2007-09-06,122.0,55000000,70016220,48.801089000000005,6.9,1188
The Cable Guy,There's no such thing as free cable.,1996-06-10,96.0,47000000,102825796,19.525659,5.7,594
Earth,,1998-09-16,101.0,0,528972,1.246883,6.6,9
Dick Tracy,Their turf. Their game. Their rules. They didn't count on HIS law...,1990-06-15,103.0,47000000,103738726,7.859226,5.9,251
Happily N'Ever After,Fairy Tale Endings Aren't What They Used To Be,2006-09-14,75.0,47000000,38085778,10.410933,4.6,104
My Best Friend's Wedding,It's about finding the love of your life. And deciding what to do about it.,1997-06-19,105.0,38000000,299288605,15.401855,6.3,584
Courage Under Fire,A medal for honor. A search for justice. A battle for truth.,1996-07-04,117.0,46000000,100860818,12.971122,6.2,232
Liar Liar,Trust me.,1997-03-21,86.0,45000000,181000000,26.721386,6.4,1424
Taken 2,First they took his daughter. Now they're coming for him.,2012-09-27,91.0,45000000,376141306,49.353524,6.1,2757
The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,1993-12-16,141.0,45000000,195268056,17.923254,6.3,371
The Bucket List,Find the joy.,2007-12-25,97.0,45000000,175372502,31.305335999999997,7.0,1111
Patriot Games,Not for honor. Not for country. For his wife and child.,1992-06-04,117.0,45000000,178051587,19.637704,6.3,433
Galaxy Quest,A comedy of Galactic Proportions.,1999-12-23,102.0,45000000,90683916,30.816340999999998,6.9,710
Scary Movie 2,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,2001-07-04,83.0,45000000,141220678,35.376971000000005,5.4,982
The Muppets,They're closer than you think.,2011-11-22,103.0,45000000,165184237,17.047276,6.5,501
Coach Carter,It begins on the street. It ends here.,2005-01-14,136.0,30000000,76669806,23.234651,7.3,496
Changing Lanes,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",2002-04-07,89.0,45000000,94935764,17.270539000000003,5.9,299
Anaconda,When You Can't Breathe You Can't Scream.,1997-04-11,89.0,45000000,136885767,27.684779,4.7,610
Coyote Ugly,This party never ends.,2000-07-30,100.0,45000000,113916474,26.79781,5.8,575
A Bug's Life,An epic presentation of miniature proportions.,1998-11-25,95.0,120000000,363258859,87.350802,6.8,2303
From Hell,Only the legend will survive.,2001-10-19,122.0,35000000,74558115,26.134678,6.6,741
Tin Cup,Golf Pro. Love Amateur.,1996-08-16,135.0,45000000,53854588,10.731574,5.9,150
Fat Albert,,2004-12-12,93.0,0,0,7.157635000000001,4.3,69
Resident Evil: Extinction,The Extinction Is Coming...,2007-09-20,94.0,45000000,148412065,12.065380000000001,6.1,1292
Blended,"Single Dad, No Clue. Single Mum, Flying Solo.",2014-05-21,117.0,40000000,123494610,44.120328,6.6,1006
The River Wild,The vacation is over,1994-09-30,111.0,45000000,0,12.362876,6.1,210
The Indian in the Cupboard,,1995-07-14,96.0,45000000,0,11.095914,5.9,134
The Ant Bully,The battle for the lawn is on.,2006-07-27,88.0,50000000,55181129,20.239061,5.5,366
Dune,"A world beyond your experience, beyond your imagination.",1984-12-14,137.0,40000000,30925690,25.876582,6.5,562
Revolutionary Road,How do you break free without breaking apart?,2008-12-19,119.0,35000000,75225693,20.360549,6.7,796
The Producers,,2005-12-25,134.0,45000000,38058335,6.803965,6.1,151
The Phantom,Slam Evil!,1996-06-06,100.0,45000000,17300889,9.025236,4.7,136
All the Pretty Horses,Some passions can never be tamed.,2000-12-11,117.0,57000000,0,7.5246710000000006,5.8,60
Miracle at St. Anna,,2008-09-15,160.0,45000000,9323833,11.387408,6.3,90
Big Trouble,They have forty-five minutes to save the world. They need forty-six.,2002-04-05,85.0,40000000,8493890,5.201688,6.3,80
Shadow Conspiracy,,1997-01-31,103.0,45000000,2154540,3.848893,4.0,11
Foodfight!,When good food... goes bad!,2012-06-15,87.0,65000000,73706,5.258726,2.3,28
Argo,The movie was fake. The mission was real.,2012-10-11,120.0,44500000,232324128,62.01056,7.1,3423
Sleepers,When friendship runs deeper than blood.,1996-10-18,147.0,44000000,165615285,16.245068,7.3,715
Heaven's Gate,The only thing greater than their passion for America... was their passion for each other.,1980-11-19,219.0,44000000,3484331,5.3801239999999995,6.4,55
Finding Forrester,"In an ordinary place, he found the one person to make his life extraordinary.",2000-12-21,136.0,43000000,80049764,19.043286,7.0,302
28 Days,The Life of the Party... before she got a life.,2000-04-06,103.0,43000000,0,5.418921,6.0,208
Unleashed,Serve No Master,2005-02-02,103.0,45000000,50871113,25.999888000000002,6.6,518
The Sweetest Thing,A romantic comedy without the sugar.,2002-04-12,84.0,43000000,68696770,18.65632,5.3,280
Notting Hill,Can the most famous film star in the world fall for the man on the street?,1999-05-13,124.0,42000000,363889678,28.969151,7.0,1262
Boomerang,A Player Who's About to be Played.,1992-06-30,117.0,40000000,70100000,6.420433999999999,5.4,134
The Mothman Prophecies,What do you see?,2002-01-25,119.0,32000000,55157539,14.733513,6.1,305
Licence to Kill,His bad side is a dangerous place to be.,1989-07-07,133.0,32000000,156167015,28.221190000000004,5.9,541
One for the Money,She's looking for a few not-so-good men,2012-01-26,91.0,40000000,36893721,19.438503,5.3,388
The Warrior's Way,Assassin. Hero. Legend.,2010-12-02,100.0,42000000,11087569,7.349497,6.3,136
8 Mile,Every moment is another chance.,2002-11-08,110.0,41000000,215000000,32.798571,6.8,1626
The Medallion,,2003-08-15,88.0,41000000,0,14.653718,5.3,281
The Big Year,Everyone is searching for something.,2011-10-13,100.0,41000000,7448385,9.419725999999999,5.6,248
American Hustle,Everyone Hustles To Survive,2013-12-12,138.0,40000000,251171807,49.664128000000005,6.8,2807
Double Jeopardy,Murder isn't always a crime.,1999-09-24,105.0,70000000,177841558,19.439386,6.2,278
Back to the Future Part II,"Roads? Where we're going, we don't need roads!",1989-11-20,108.0,40000000,332000000,43.345252,7.4,3829
Lucy,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,2014-07-14,89.0,40000000,126546825,115.241998,6.3,5878
A Time to Kill,Experience a time you'll never forget.,1996-07-24,149.0,40000000,152266007,25.219804999999997,7.0,509
Cheaper by the Dozen,Growing pains? They've got twelve of them!,2003-12-24,98.0,40000000,190212113,26.516624,6.0,699
A League of Their Own,"To achieve the incredible, you have to attempt the impossible.",1992-07-01,128.0,40000000,107458785,21.661027999999998,6.7,354
The Conjuring 2,The next true story from the case files of Ed and Lorraine Warren,2016-05-13,134.0,40000000,320170008,68.794673,7.0,1949
He's Just Not That Into You,Are you the exception...or the rule?,2009-02-06,129.0,40000000,177259441,26.253357,6.2,959
Get Hard,An education in incarceration.,2015-03-26,100.0,40000000,111811453,36.301202,5.9,944
Julie & Julia,Based on Two True Stories,2009-08-06,123.0,40000000,129540499,22.853006,6.6,560
42,The True Story Of An American Legend,2013-04-12,128.0,40000000,95020213,31.884559000000003,6.8,787
Dumb and Dumber To,The Second Parts Are More Fools,2014-11-12,110.0,40000000,169837010,67.767785,5.4,1127
Eight Below,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",2006-02-17,120.0,40000000,120455994,24.287306,6.7,542
Sin City,Walk down the right back alley in Sin City and you can find anything...,2005-04-01,124.0,40000000,158733820,66.003433,7.2,2691
JFK,The story that won’t go away.,1991-12-20,189.0,40000000,205405498,26.82041,7.5,502
The Mexican,Love with the safety off.,2001-03-01,123.0,57000000,147845033,21.021809,5.8,441
17 Again,Who says you're only young once?,2009-03-11,102.0,20000000,136267476,52.571674,6.1,1350
The Final Destination,Rest In Pieces,2009-08-26,82.0,40000000,186167139,32.478077,5.4,831
Get Him to the Greek,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,2010-06-04,109.0,40000000,90029656,17.869443,5.9,612
Shall We Dance?,Step out of the ordinary,2004-10-15,107.0,50000000,170128460,14.231898999999999,5.9,297
Small Soldiers,"The few, the proud, and the small.",1998-07-10,110.0,40000000,54682547,23.088570999999998,6.2,511
The Count of Monte Cristo,Prepare for adventure. Count on revenge.,2002-01-23,131.0,35000000,75395048,26.595983,7.3,453
The Lincoln Lawyer,This Case is a Dangerous Game of Life and Death,2011-03-17,119.0,40000000,85412898,26.072228,7.0,902
Unknown,Take Back Your Life,2011-02-16,113.0,30000000,130786397,38.643914,6.5,1265
The Prestige,Are You Watching Closely?,2006-10-19,130.0,40000000,109676311,74.440708,8.0,4391
Escape from Planet Earth,Earth's greatest secrets are about to break out!,2013-02-14,89.0,40000000,74597643,18.14218,5.7,332
Apocalypto,No one can outrun their destiny.,2006-12-07,139.0,40000000,120175290,41.570046999999995,7.3,1221
Legal Eagles,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,1986-06-18,116.0,0,0,7.519433,5.8,51
Secret Window,The most important part of a story is the ending.,2004-03-12,96.0,40000000,92913171,32.908414,6.4,972
The Lake House,How do you hold on to someone you've never met?,2006-06-16,99.0,40000000,114830111,29.887359999999997,6.5,670
The Odd Life of Timothy Green,He's a force of nature.,2012-08-15,105.0,0,51854875,16.394451999999998,6.5,386
Made of Honor,He'll do anything to get the groom out of the picture.,2008-05-02,101.0,40000000,84601681,19.574773999999998,6.0,394
The Rainmaker,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,1997-11-18,135.0,40000000,45916769,12.229516,6.7,235
Amistad,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,1997-12-03,155.0,36000000,74000000,3.6982760000000003,6.8,316
Medicine Man,He turned his back on civilization. Only to discover he had the power to save it.,1992-02-07,106.0,40000000,0,7.021871000000001,5.8,114
Aliens vs Predator: Requiem,The Last Place On Earth We Want To Be Is In The Middle,2007-12-25,94.0,40000000,41797066,39.381913,4.9,740
Ri¢hie Ri¢h,An adventure so big... even the world's richest kid can't afford to miss it!,1994-12-19,95.0,40000000,0,14.398356,5.4,415
Music and Lyrics,Share the music with someone you love.,2007-02-09,96.0,40000000,145896422,17.659032,6.2,554
8MM,You can't prepare for where the truth will take you.,1999-02-26,123.0,40000000,96618699,25.580272,6.1,474
Hanging Up,Every family has a few hang-ups.,2000-02-16,94.0,40000000,36037909,3.4155339999999996,5.0,40
Final Destination 5,We all share a common destination.,2011-08-12,92.0,47000000,157887643,38.555482,5.9,866
Mickey Blue Eyes,A romantic comedy you can't refuse,1999-08-16,102.0,0,0,6.786117,5.3,140
Pay It Forward,"When someone does you a big favor, don't pay it back... Pay It Forward",2000-10-12,122.0,40000000,55707411,24.313684,7.0,432
The Shadow,The Shadow Knows!,1994-07-01,108.0,25000000,48063435,8.178203,5.4,138
The Art of War,Who is your foe?,2000-08-23,117.0,40000000,30199105,7.832337,5.6,135
Rent,No day but today.,2005-11-23,135.0,40000000,31670620,10.433667,6.7,155
Bless the Child,Mankind's last hope just turned six.,2000-08-11,107.0,40000000,0,3.3219489999999996,4.9,71
The Out-of-Towners,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why.",1999-04-02,90.0,75000000,29000000,4.842626,5.0,45
The Island of Dr. Moreau,The gates of hell are unlocked.,1996-08-23,96.0,40000000,49627779,13.210898,4.6,147
The Reaping,What Hath God Wrought?,2007-04-05,99.0,40000000,62771059,13.445697000000001,5.4,205
Renaissance Man,"One Man's Mission To Teach The Few, The Proud... The Impossible!",1994-06-03,128.0,40000000,24332324,4.516953,5.9,81
City By The Sea,When you're searching for a killer... the last suspect you want to see is your son.,2002-09-06,108.0,40000000,22433915,3.4769660000000004,5.7,92
At First Sight,Science gave him sight. She gave him vision.,1999-01-15,128.0,0,0,5.7787239999999995,5.9,48
Torque,Circuit of Fire,2004-01-16,84.0,40000000,46546197,7.360792999999999,4.7,119
Marie Antoinette,Rumor. Scandal. Fame. Revolution.,2006-05-24,123.0,40000000,60474340,22.364549,6.5,642
The Impossible,Nothing is more powerful than the human spirit.,2012-09-09,113.0,42000000,180274123,47.559928,7.0,2025
Fantastic Mr. Fox,Dig the life fantastic!,2009-10-23,87.0,40000000,46471023,41.258956,7.5,1176
Memoirs of an Invisible Man,An adventure like you've never seen.,1992-02-28,99.0,40000000,14358033,7.222985,5.7,125
Amélie,One person can change your life forever.,2001-04-25,122.0,10000000,173921954,73.720244,7.8,3310
New York Minute,,2004-05-01,91.0,0,0,10.0403,5.5,185
Big Miracle,A family of whales trapped beneath the ice. One unforgettable rescue.,2012-02-02,107.0,40000000,24719215,8.303696,6.6,152
FearDotCom,The last site you'll ever see.,2002-08-09,101.0,40000000,18902015,6.756886,3.2,105
Sunshine,"If the sun dies, so do we.",2007-04-05,107.0,50000000,32017803,51.502884,7.0,1182
Delgo,,2008-12-12,94.0,40000000,0,4.238482,5.4,15
The Gunman,Armed With the Truth.,2015-02-16,115.0,40000000,13644292,26.935458,5.5,392
The Hudsucker Proxy,They took him for a fall guy... but he threw them for a hoop.,1994-03-11,111.0,30000000,0,14.188982000000001,7.1,275
The Warlords,,2007-12-12,126.0,40000000,0,6.884467,6.3,83
Nomad: The Warrior,Courage know no limit,2005-07-17,112.0,25000000,0,8.212017999999999,4.3,17
A Monster in Paris,,2011-10-12,90.0,25000000,0,17.375562,6.5,313
The Crow,Real love is forever.,1994-05-11,102.0,15000000,94000000,44.690107,7.3,953
Baahubali: The Beginning,,2015-07-10,159.0,40000000,100000000,16.254032000000002,7.5,135
Frankenweenie,The electrifying dog is back from beyond the grave,2012-10-04,87.0,39000000,35287788,27.908783000000003,6.6,932
Serenity,Can't stop the signal.,2005-08-25,119.0,39000000,38869464,45.388937,7.4,1264
Grudge Match,DeNiro vs Stallone,2013-12-25,113.0,40000000,44907260,21.362949,6.0,433
Red Cliff,The future will be decided.,2008-07-10,150.0,80341000,127814609,14.8375,7.1,205
The Ugly Truth,The battle of the sexes is on.,2009-07-24,96.0,38000000,205298907,22.332926999999998,6.4,972
Sgt. Bilko,All he ever wanted was an honest week's pay for an honest day's work.,1996-03-29,90.0,0,0,5.417787000000001,5.5,94
Spy Kids 2: The Island of Lost Dreams,Little Spies. Big Attitudes,2002-08-07,100.0,38000000,119723358,24.085144,5.3,521
Star Trek: Generations,Boldly go.,1994-11-17,118.0,38000000,120000000,14.779041000000001,6.4,452
The Grandmaster,"In Martial Arts there is no right or wrong, only the last man standing.",2013-01-08,130.0,3860000,64076736,19.947264999999998,6.3,273
Water for Elephants,Life is the most spectacular show on earth.,2011-03-15,120.0,38000000,114156230,16.801218,6.7,850
Heartbreakers,Caution: Dangerous Curves Ahead,2001-03-23,123.0,35000000,0,13.932203,5.7,254
Angel Eyes,"The deeper you look, the more you will find.",2001-05-15,102.0,53000000,29700000,6.4546339999999995,5.6,88
The Ninth Gate,Every book has a life of its own.,1999-08-24,133.0,38000000,58401898,30.359164,6.3,756
Rock Star,The story of a wanna be who got to be.,2001-09-04,105.0,57000000,16991902,11.60815,6.0,190
Precious,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,2009-11-06,110.0,10000000,47536959,18.664624,6.9,417
White Squall,,1996-02-02,129.0,38000000,10300000,10.047578999999999,6.3,86
Riddick,Survival Is His Revenge,2013-09-02,119.0,38000000,98337295,46.630062,6.2,2035
Switchback,The hunter becomes the hunted.,1997-10-31,118.0,37000000,6482195,4.131546,5.8,52
The Master,Every Man Needs a Guide,2012-09-07,137.0,32000000,28258060,25.682509,7.0,701
The Express,He changed our country... one yard at a time.,2008-10-10,130.0,40000000,9793496,3.8782300000000003,7.1,71
The 5th Wave,Protect Your Own,2016-01-14,112.0,38000000,109906372,57.889964,5.6,1945
Creed,Your legacy is more than a name,2015-11-25,133.0,37000000,173567581,57.773582999999995,7.3,1915
What to Expect When You're Expecting,It's too late to pull out now.,2012-05-17,110.0,40000000,79700000,27.009722999999997,5.8,594
Magnolia,"Things fall down. People look up. And when it rains, it pours.",1999-12-08,188.0,37000000,48451803,30.993736,7.5,825
How to Be Single,Welcome to the party,2016-01-21,110.0,38000000,112343513,46.078371000000004,5.9,1201
Twilight,"When you can live forever, what do you live for?",2008-11-20,122.0,37000000,392616625,127.084938,5.8,3561
Blue Streak,He's A Cop That's Not.,1999-09-17,93.0,65000000,117758500,16.865782,6.1,352
We're the Millers,-If anyone asks.,2013-08-07,110.0,37000000,269994119,100.348805,6.8,2972
The Inhabited Island,,2008-12-18,115.0,36500000,21834845,2.785832,5.3,23
Breakdown,It could happen to you.,1997-05-02,95.0,36000000,50159144,9.176339,6.6,198
Hot Tub Time Machine,Kick some past,2010-03-26,101.0,36000000,64572262,33.926473,6.0,894
Dolphin Tale 2,WINTER's amazing true story... now has HOPE.,2014-09-12,107.0,36000000,52424533,6.967857,6.7,96
Ghosts of Mississippi,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,1996-12-20,130.0,0,0,8.102925,6.2,40
Snow Falling on Cedars,From the director of 'Shine',1999-12-22,127.0,0,0,2.79483,6.3,32
The Rite,You can only defeat it when you believe.,2011-01-28,114.0,37000000,96047633,11.492474000000001,5.8,556
Gattaca,There is no gene for the human spirit.,1997-09-07,106.0,36000000,12532777,70.398356,7.5,1808
Isn't She Great,Talent Isn't Everything...,2000-01-28,95.0,36000000,3003296,1.068453,4.6,14
Head of State,,2003-01-01,95.0,0,0,3.4571940000000003,5.3,71
The Hangover,Some guys just can't handle Vegas.,2009-06-05,100.0,35000000,459270619,82.21166,7.2,6173
Ip Man 3,,2015-12-19,105.0,36000000,156844753,19.167377,6.5,379
Austin Powers: The Spy Who Shagged Me,"I'm back, baby!",1999-06-08,95.0,33000000,310940086,18.316151,6.2,1011
There Be Dragons,,2011-03-25,112.0,0,0,6.668678999999999,5.9,27
Horrible Bosses,Ever wish your boss was dead?,2011-07-08,98.0,35000000,117000000,50.309843,6.5,2277
The Devil Wears Prada,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,2006-06-30,109.0,35000000,326551094,83.89325699999999,7.0,3088
Star Trek: The Motion Picture,The human adventure is just beginning.,1979-12-06,132.0,35000000,139000000,24.616634,6.2,530
21,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,2008-03-27,123.0,35000000,69823199,45.149947999999995,6.5,1375
Trainwreck,We All Know One.,2015-07-17,125.0,35000000,140795793,72.774941,5.9,1181
The English Patient,"In love, there are no boundaries.",1996-11-14,162.0,27000000,231976425,29.381878000000004,7.0,542
Sky High,Saving The World... One Homework Assignment At A Time.,2005-07-29,100.0,35000000,86369815,11.041659,5.8,550
Species,Our time is up.,1995-07-07,108.0,35000000,113374103,23.607070999999998,5.5,453
Friends with Benefits,Some friends come with a happy ending.,2011-07-21,109.0,35000000,150483765,40.526587,6.5,2237
Neighbors 2: Sorority Rising,New neighbors.,2016-05-04,91.0,35000000,108758521,50.179171000000004,5.6,1462
Malcolm X,,1992-11-18,202.0,34000000,48169908,19.822791,7.2,370
This Is 40,The sort-of sequel to 'Knocked Up',2012-12-20,134.0,35000000,88058786,38.429648,5.6,896
Underworld: Rise of the Lycans,Every war has a beginning.,2009-01-22,92.0,35000000,91353501,51.927471000000004,6.2,1428
The Benchwarmers,Get off the bench and get into the game.,2006-04-07,80.0,0,0,6.74556,5.2,242
Must Love Dogs,,2005-07-21,98.0,30000000,58405313,11.120167,5.8,140
Poltergeist,They're here.,1982-06-04,114.0,10700000,122200000,36.230204,7.0,794
In Time,Time Is Power,2011-10-27,109.0,40000000,173930596,60.231381999999996,6.7,3417
Something Borrowed,It's a thin line between love and friendship.,2011-05-05,112.0,35000000,59901913,14.029012,5.9,296
Black Knight,It's only a flesh wound!,2001-11-21,95.0,0,0,15.913782999999999,5.1,287
The Pianist,Music was his passion. Survival was his masterpiece.,2002-09-24,150.0,35000000,120072577,50.587540999999995,8.0,1864
The Nativity Story,Her child would change the world.,2006-12-01,101.0,35000000,0,3.721272,6.4,35
House of Wax,Prey. Slay. Display,2005-04-30,113.0,40000000,68766121,17.157738000000002,5.5,677
Closer,"If you believe in love at first sight, you never stop looking.",2004-12-01,104.0,27000000,115505027,22.636908,6.7,811
J. Edgar,The most powerful man in the world.,2011-11-09,137.0,35000000,84606030,28.069419,6.0,741
Queen of the Damned,This time there are no interviews.,2002-02-10,101.0,35000000,45479110,11.644243,5.4,239
Untraceable,A cyber killer has finally found the perfect accomplice: You.,2008-01-22,101.0,35000000,32483410,12.677505,5.9,238
Blast from the Past,She'd never met anyone like him. He's never met anyone... Period.,1999-02-12,112.0,35000000,40263020,8.737058,6.3,245
Jersey Girl,He wanted it all...but he got more than he bargained for.,2004-03-25,102.0,35000000,36098382,14.699342000000001,5.8,325
Alex Cross,Don't Ever Cross Alex Cross,2012-10-18,101.0,45000000,30353232,14.513243,5.1,300
Midnight in the Garden of Good and Evil,,1997-11-21,155.0,35000000,25105255,5.525544,6.3,157
Heist,Never make a bet you can't afford to lose.,2015-11-13,93.0,8900000,4100000,15.079993,5.6,318
Nanny McPhee and the Big Bang,You'll Believe That Pigs Can Fly!,2010-03-26,109.0,35000000,93246388,23.835055,6.0,436
The X Files: I Want to Believe,"To find the truth, you must believe.",2008-07-24,104.0,30000000,68369434,25.454549,5.5,523
Concussion,Even Legends Need a Hero,2015-11-12,123.0,35000000,50363790,35.120736,7.0,823
Abduction,They stole his life. He's taking it back.,2011-09-22,106.0,35000000,82087155,19.893646,5.6,961
Superhero Movie,The greatest Superhero movie of all time! (not counting all the others),2008-03-27,85.0,35000000,25871834,19.088655,4.9,379
Broken City,Proof Can Be a Powerful Weapon.,2013-01-18,109.0,56000000,19701164,29.490057,5.7,593
Premium Rush,Ride Like Hell,2012-08-24,91.0,35000000,31083599,17.709888,6.2,832
Hot Pursuit,Armed and Sort-of Dangerous.,2015-05-08,87.0,35000000,51680201,18.262017,5.4,647
The Four Feathers,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",2002-09-08,132.0,35000000,29882645,10.103639999999999,6.5,159
Parker,"To get away clean, you have to play dirty.",2013-01-23,118.0,35000000,46216641,28.670477,5.7,1455
Wimbledon,She's the golden girl. He's the longshot. It's a match made in...,2004-09-13,98.0,31000000,41512007,16.736734,6.0,293
Flight of the Intruder,The only thing they can count on is each other.,1991-01-18,115.0,35000000,0,6.81729,5.7,31
American Outlaws,Sometimes the wrong side of the law is the right place to be.,2001-08-17,94.0,35000000,13678913,6.727949000000001,5.7,55
The Tree of Life,Nothing stands still.,2011-05-18,139.0,32000000,54674226,43.862456,6.5,987
Sabotage,Leave no loose ends,2014-03-28,110.0,35000000,17508518,27.903999,5.5,555
Punisher: War Zone,Vengeance has a name,2008-12-05,102.0,20500000,10089373,17.112498000000002,5.6,294
The Walk,Dream High.,2015-09-30,123.0,35000000,61181942,37.335721,6.9,1121
A Good Year,Everything matures... eventually.,2006-09-09,118.0,35000000,42064105,16.782470999999997,6.5,357
Bound by Honor,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,1993-02-05,180.0,35000000,0,9.122828,7.7,115
The Horseman on the Roof,,1995-09-20,135.0,35000000,15000000,2.877488,6.7,25
